metric;precision;score
f1_over_bin_cross;1;0.4381575854000955
f1_score;1;0.5111189918308217
bin_cross;1;0.4242646189647972
matthews_corr;1;0.5381407880932444
f1_over_bin_cross;2;0.4439862544822578
f1_score;2;0.5135599531128983
bin_cross;2;0.4347095752781165
matthews_corr;2;0.5411663189314806
f1_over_bin_cross;3;0.44380878952619635
f1_score;3;0.5138468315785304
bin_cross;3;0.43512394956689227
matthews_corr;3;0.5415920827650864
f1_over_bin_cross;4;0.4439620399628056
f1_score;4;0.5139716069621292
bin_cross;4;0.43528202373142244
matthews_corr;4;0.5417198496182749
f1_over_bin_cross;5;0.443978033232751
f1_score;5;0.5139959625991225
bin_cross;5;0.43529745661993624
matthews_corr;5;0.5417445277624882
f1_over_bin_cross;6;0.4439789871678587
f1_score;6;0.5139964636764657
bin_cross;6;0.43530002153332753
matthews_corr;6;0.5417459033250708
f1_over_bin_cross;7;0.4439789871678587
f1_score;7;0.5139964636764657
bin_cross;7;0.43530002153332753
matthews_corr;7;0.5417459033250708
f1_over_bin_cross;8;0.4439789871678587
f1_score;8;0.5139964636764657
bin_cross;8;0.43530002153332753
matthews_corr;8;0.5417459033250708
f1_over_bin_cross;9;0.4439789871678587
f1_score;9;0.5139964636764657
bin_cross;9;0.43530002153332753
matthews_corr;9;0.5417459033250708
f1_over_bin_cross;10;0.4439789871678587
f1_score;10;0.5139964636764657
bin_cross;10;0.43530002153332753
matthews_corr;10;0.5417459033250708
pr_auc;1;0.5378015787129116
pr_auc;2;0.5395466604498076
pr_auc;3;0.5399655973894372
